"Years bp","non-background Pb Flux (µg/m2/a)","11-yr median filtered estimated Lead Emissions (kt/a)"
2115.5,0.39,0.575
2114.5,0.334,0.575
2113.5,0.162,0.575
2112.5,0.111,0.642
2111.5,0.13,0.699
2110.5,0.23,0.731
2109.5,0.412,0.731
2108.5,0.442,0.731
2107.5,0.285,0.867
2106.5,0.298,0.867
2105.5,0.465,0.867
2104.5,0.354,0.867
2103.5,0.688,0.867
2102.5,0.385,0.867
2101.5,0.22,0.944
2100.5,0.185,1.142
2099.5,0.329,1.265
2098.5,0.605,1.265
2097.5,0.763,1.021
2096.5,0.802,1.021
2095.5,0.518,1.139
2094.5,0.516,1.139
2093.5,0.327,1.139
2092.5,0.416,1.021
2091.5,0.302,0.992
2090.5,0.464,0.971
2089.5,0.405,0.971
2088.5,0.396,0.971
2087.5,0.379,0.971
2086.5,0.163,0.971
2085.5,0.215,0.971
2084.5,0.746,0.971
2083.5,0.68,0.971
2082.5,0.367,1.035
2081.5,0.457,1.122
2080.5,0.24,1.122
2079.5,0.422,1.242
2078.5,1.364,1.242
2077.5,1.238,1.122
2076.5,0.659,1.122
2075.5,0.437,1.242
2074.5,0.507,1.242
2073.5,0.611,1.484
2072.5,0.29,1.242
2071.5,0.367,1.074
2070.5,0.658,1.074
2069.5,0.433,1.074
2068.5,0.605,1.063
2067.5,0.438,0.954
2066.5,0.274,1.063
2065.5,0.44,1.063
2064.5,0.389,1.011
2063.5,0.246,0.954
2062.5,0.249,0.954
2061.5,0.545,0.954
2060.5,0.412,0.954
2059.5,0.234,0.611
2058.5,0.198,0.611
2057.5,0.419,0.808
2056.5,0.609,0.808
2055.5,0.249,0.61
2054.5,0.248,0.608
2053.5,0.64,0.608
2052.5,0.33,0.608
2051.5,0.18,0.548
2050.5,0.101,0.488
2049.5,0.199,0.488
2048.5,0.158,0.461
2047.5,0.223,0.461
2046.5,0.165,0.442
2045.5,0.145,0.404
2044.5,0.234,0.404
2043.5,0.188,0.404
2042.5,0.227,0.461
2041.5,0.151,0.461
2040.5,0.117,0.461
2039.5,0.157,0.461
2038.5,0.373,0.461
2037.5,0.203,0.498
2036.5,0.206,0.498
2035.5,0.138,0.498
2034.5,0.188,0.498
2033.5,0.263,0.504
2032.5,0.252,0.504
2031.5,0.538,0.504
2030.5,0.168,0.46
2029.5,0.174,0.46
2028.5,0.285,0.427
2027.5,0.249,0.413
2026.5,0.097,0.238
2025.5,0.025,0.238
2024.5,0.08,0.238
2023.5,0.009,0.238
2022.5,0.069,0.238
2021.5,0.033,0.238
2020.5,0.212,0.29
2019.5,0.165,0.29
2018.5,0.217,0.29
2017.5,0.268,0.29
2016.5,0.178,0.403
2015.5,0.118,0.403
2014.5,0.103,0.338
2013.5,0.089,0.338
2012.5,0.083,0.338
2011.5,0.194,0.297
2010.5,0.138,0.297
2009.5,0.121,0.338
2008.5,0.176,0.432
2007.5,0.712,0.476
2006.5,0.077,0.537
2005.5,0.219,0.634
2004.5,0.342,0.79
2003.5,0.258,0.79
2002.5,0.448,0.79
2001.5,0.322,0.696
2000.5,0.441,0.696
1999.5,0.447,0.696
1998.5,0.284,0.696
1997.5,0.201,0.742
1996.5,0.235,0.696
1995.5,0.275,0.674
1994.5,0.205,0.643
1993.5,0.333,0.643
1992.5,0.302,0.575
1991.5,0.199,0.575
1990.5,0.191,0.643
1989.5,0.262,0.503
1988.5,0.319,0.487
1987.5,0.116,0.483
1986.5,0.142,0.467
1985.5,0.291,0.467
1984.5,0.157,0.42
1983.5,0.171,0.385
1982.5,0.197,0.385
1981.5,0.142,0.42
1980.5,0.193,0.42
1979.5,0.119,0.42
1978.5,0.118,0.47
1977.5,0.207,0.47
1976.5,0.437,0.47
1975.5,0.136,0.473
1974.5,0.25,0.47
1973.5,0.192,0.47
1972.5,0.144,0.47
1971.5,0.232,0.47
1970.5,0.238,0.354
1969.5,0.108,0.354
1968.5,0.081,0.329
1967.5,0.06,0.329
1966.5,0.217,0.329
1965.5,0.134,0.329
1964.5,0.116,0.329
1963.5,0.09,0.386
1962.5,0.157,0.459
1961.5,0.365,0.533
1960.5,0.389,0.625
1959.5,0.38,0.805
1958.5,0.187,0.894
1957.5,0.255,0.912
1956.5,0.392,0.912
1955.5,1.315,0.931
1954.5,0.328,0.931
1953.5,0.372,0.962
1952.5,0.394,0.962
1951.5,0.367,0.967
1950.5,0.399,0.978
1949.5,0.462,0.967
1948.5,0.696,0.978
1947.5,0.194,1.132
1946.5,0.6,1.353
1945.5,0.65,1.353
1944.5,0.316,1.353
1943.5,1.242,1.364
1942.5,0.552,1.353
1941.5,0.611,1.353
1940.5,0.416,1.162
1939.5,0.474,1.086
1938.5,0.556,1.162
1937.5,0.443,1.086
1936.5,0.386,1.086
1935.5,0.442,1.084
1934.5,0.416,1.084
1933.5,0.579,1.02
1932.5,0.297,0.946
1931.5,0.737,0.946
1930.5,0.242,1.02
1929.5,0.293,1.019
1928.5,0.238,0.904
1927.5,0.206,0.904
1926.5,0.618,1.019
1925.5,0.436,0.904
1924.5,0.415,0.904
1923.5,0.369,0.904
1922.5,0.681,1.019
1921.5,1.028,1.044
1920.5,0.333,1.019
1919.5,0.256,1.019
1918.5,0.322,1.111
1917.5,0.453,1.199
1916.5,,1.111
1915.5,,1.111
1914.5,0.582,1.199
1913.5,0.489,1.236
1912.5,0.514,1.236
1911.5,0.43,1.236
1910.5,0.504,1.248
1909.5,1.258,1.236
1908.5,0.581,1.236
1907.5,0.23,1.26
1906.5,0.347,1.236
1905.5,0.601,1.398
1904.5,0.403,1.398
1903.5,0.699,0.989
1902.5,0.798,0.854
1901.5,0.233,0.854
1900.5,0.57,0.854
1899.5,0.278,0.818
1898.5,0.319,0.731
1897.5,0.348,0.627
1896.5,0.164,0.627
1895.5,0.127,0.718
1894.5,,0.624
1893.5,0.231,0.661
1892.5,0.165,0.661
1891.5,0.308,0.661
1890.5,0.564,0.845
1889.5,0.185,1.159
1888.5,0.594,1.383
1887.5,1.053,1.383
1886.5,0.601,1.383
1885.5,0.381,1.383
1884.5,1.535,1.104
1883.5,0.807,1.104
1882.5,0.415,1.018
1881.5,0.45,1.018
1880.5,0.217,0.934
1879.5,0.297,0.869
1878.5,0.336,0.869
1877.5,0.271,0.869
1876.5,0.538,0.824
1875.5,0.322,0.789
1874.5,0.354,0.789
1873.5,0.382,0.789
1872.5,0.757,0.784
1871.5,0.32,0.789
1870.5,0.253,0.784
1869.5,0.307,0.784
1868.5,0.149,0.784
1867.5,0.155,0.769
1866.5,0.358,0.752
1865.5,0.314,0.752
1864.5,0.416,0.769
1863.5,0.661,0.769
1862.5,0.237,0.867
1861.5,0.144,0.879
1860.5,0.595,0.867
1859.5,0.496,0.867
1858.5,0.235,0.724
1857.5,0.353,0.579
1856.5,1.037,0.721
1855.5,0.225,1.041
1854.5,0.148,0.971
1853.5,,0.752
1852.5,0.174,0.971
1851.5,0.683,0.869
1850.5,0.537,0.869
1849.5,0.439,1.196
1848.5,0.26,1.24
1847.5,0.668,1.164
1846.5,0.27,1.316
1845.5,0.652,1.164
1844.5,0.569,1.164
1843.5,0.475,1.164
1842.5,0.325,1.164
1841.5,1.825,0.965
1840.5,0.394,0.965
1839.5,0.564,0.924
1838.5,0.377,0.797
1837.5,0.301,0.797
1836.5,0.267,0.745
1835.5,0.146,0.738
1834.5,0.219,0.701
1833.5,0.304,0.701
1832.5,1.462,0.701
1831.5,0.211,0.701
1830.5,0.141,0.745
1829.5,0.286,0.87
1828.5,1.309,0.87
1827.5,0.442,0.87
1826.5,0.355,0.824
1825.5,0.728,0.824
1824.5,0.517,0.824
1823.5,0.316,0.87
1822.5,0.252,0.87
1821.5,0.336,0.87
1820.5,0.131,0.824
1819.5,0.256,0.824
1818.5,0.464,0.824
1817.5,0.371,0.91
1816.5,0.396,0.91
1815.5,0.309,0.91
1814.5,0.746,0.91
1813.5,0.591,0.91
1812.5,0.382,0.803
1811.5,0.175,0.758
1810.5,0.273,0.758
1809.5,0.328,0.803
1808.5,0.272,0.74
1807.5,0.302,0.68
1806.5,0.268,0.68
1805.5,0.803,0.74
1804.5,0.453,0.74
1803.5,0.252,0.68
1802.5,0.277,0.68
1801.5,0.308,0.68
1800.5,0.466,0.751
1799.5,0.129,0.732
1798.5,0.245,0.706
1797.5,0.215,0.706
1796.5,0.322,0.741
1795.5,0.306,0.741
1794.5,0.299,0.741
1793.5,,0.751
1792.5,0.276,0.751
1791.5,0.442,0.751
1790.5,0.306,0.751
1789.5,0.311,0.751
1788.5,,0.751
1787.5,0.419,0.751
1786.5,0.294,0.751
1785.5,0.306,0.736
1784.5,0.453,0.658
1783.5,0.243,0.588
1782.5,0.234,0.585
1781.5,0.144,0.585
1780.5,0.169,0.585
1779.5,0.207,0.581
1778.5,0.237,0.574
1777.5,0.239,0.509
1776.5,0.468,0.478
1775.5,0.342,0.478
1774.5,0.163,0.478
1773.5,0.091,0.405
1772.5,0.155,0.405
1771.5,0.195,0.404
1770.5,0.165,0.404
1769.5,0.154,0.401
1768.5,0.165,0.38
1767.5,0.178,0.404
1766.5,,0.405
1765.5,,0.404
1764.5,0.127,0.404
1763.5,0.152,0.437
1762.5,0.307,0.437
1761.5,0.203,0.408
1760.5,0.124,0.39
1759.5,0.186,0.372
1758.5,0.364,0.372
1757.5,0.166,0.347
1756.5,0.133,0.347
1755.5,0.078,0.325
1754.5,0.141,0.347
1753.5,0.114,0.347
1752.5,0.081,0.347
1751.5,0.248,0.347
1750.5,0.11,0.37
1749.5,0.205,0.473
1748.5,0.22,0.502
1747.5,0.193,0.502
1746.5,0.151,0.502
1745.5,0.35,0.473
1744.5,0.299,0.502
1743.5,0.272,0.473
1742.5,0.14,0.432
1741.5,0.059,0.401
1740.5,0.11,0.432
1739.5,0.205,0.342
1738.5,0.176,0.269
1737.5,0.098,0.269
1736.5,,0.26
1735.5,,0.26
1734.5,0.106,0.239
1733.5,0.063,0.239
1732.5,0.192,0.239
1731.5,0.082,0.237
1730.5,0.071,0.248
1729.5,0.097,0.26
1728.5,0.152,0.291
1727.5,0.195,0.341
1726.5,0.069,0.291
1725.5,0.139,0.341
1724.5,0.265,0.373
1723.5,0.119,0.373
1722.5,0.167,0.341
1721.5,0.083,0.341
1720.5,0.232,0.41
1719.5,0.238,0.41
1718.5,0.133,0.332
1717.5,0.103,0.332
1716.5,0.296,0.326
1715.5,0.266,0.326
1714.5,0.135,0.285
1713.5,0.098,0.285
1712.5,-0.028,0.285
1711.5,0.106,0.332
1710.5,0.116,0.285
1709.5,0.076,0.271
1708.5,0.168,0.261
1707.5,0.182,0.261
1706.5,0.181,0.261
1705.5,0.11,0.252
1704.5,0.055,0.187
1703.5,0.065,0.183
1702.5,0.042,0.183
1701.5,0.033,0.183
1700.5,0.103,0.183
1699.5,0.075,0.172
1698.5,0.057,0.18
1697.5,0.174,0.193
1696.5,0.122,0.193
1695.5,0.249,0.193
1694.5,,0.18
1693.5,0.072,0.158
1692.5,0.083,0.158
1691.5,-0.028,0.158
1690.5,0.037,0.14
1689.5,0.057,0.14
1688.5,0.054,0.141
1687.5,0.057,0.141
1686.5,0.159,0.14
1685.5,-0.025,0.141
1684.5,0.102,0.141
1683.5,0.092,0.14
1682.5,0.118,0.198
1681.5,0.051,0.225
1680.5,0.081,0.225
1679.5,0.021,0.225
1678.5,0.04,0.225
1677.5,0.184,0.289
1676.5,0.179,0.329
1675.5,0.146,0.329
1674.5,0.024,0.339
1673.5,0.138,0.339
1672.5,0.134,0.356
1671.5,0.25,0.356
1670.5,0.108,0.356
1669.5,0.145,0.356
1668.5,0.135,0.464
1667.5,0.189,0.464
1666.5,0.247,0.464
1665.5,0.349,0.356
1664.5,0.229,0.464
1663.5,0.277,0.464
1662.5,0.105,0.464
1661.5,0.068,0.365
1660.5,0.12,0.293
1659.5,0.241,0.257
1658.5,0.104,0.256
1657.5,0.149,0.242
1656.5,0.099,0.242
1655.5,0.096,0.242
1654.5,0.071,0.235
1653.5,0.013,0.235
1652.5,0.053,0.22
1651.5,0.252,0.22
1650.5,0.079,0.204
1649.5,0.09,0.204
1648.5,0.126,0.22
1647.5,0.032,0.238
1646.5,0.097,0.286
1645.5,0.083,0.286
1644.5,0.117,0.286
1643.5,0.134,0.286
1642.5,0.135,0.279
1641.5,0.133,0.279
1640.5,0.202,0.286
1639.5,0.089,0.327
1638.5,0.047,0.327
1637.5,0.114,0.327
1636.5,0.11,0.327
1635.5,0.241,0.425
1634.5,0.173,0.279
1633.5,0.083,0.279
1632.5,0.187,0.279
1631.5,0.263,0.271
1630.5,0.201,0.237
1629.5,0.096,0.22
1628.5,0.083,0.22
1627.5,0.008,0.347
1626.5,0.012,0.349
1625.5,0.081,0.295
1624.5,,0.22
1623.5,0.27,0.25
1622.5,0.24,0.292
1621.5,0.188,0.325
1620.5,0.144,0.354
1619.5,0.08,0.354
1618.5,0.121,0.343
1617.5,0.117,0.334
1616.5,0.395,0.332
1615.5,,0.297
1614.5,0.135,0.297
1613.5,0.035,0.332
1612.5,0.137,0.336
1611.5,,0.347
1610.5,0.051,0.347
1609.5,0.42,0.342
1608.5,0.33,0.342
1607.5,0.141,0.373
1606.5,0.318,0.404
1605.5,0.162,0.407
1604.5,0.115,0.407
1603.5,0.117,0.398
1602.5,0.167,0.398
1601.5,0.172,0.407
1600.5,0.166,0.407
1599.5,0.069,0.41
1598.5,0.158,0.421
1597.5,0.261,0.436
1596.5,0.369,0.45
1595.5,0.225,0.452
1594.5,0.184,0.453
1593.5,0.185,0.502
1592.5,,0.552
1591.5,,0.502
1590.5,,0.453
1589.5,,0.452
1588.5,,0.453
1587.5,,0.503
1586.5,,0.372
1585.5,,0.334
1584.5,,0.288
1583.5,,0.334
1582.5,0.205,0.288
1581.5,0.098,0.292
1580.5,0.136,0.313
1579.5,0.063,0.334
1578.5,0.191,0.313
1577.5,0.092,0.334
1576.5,0.119,0.334
1575.5,0.282,0.44
1574.5,0.27,0.44
1573.5,0.095,0.44
1572.5,0.179,0.408
1571.5,0.225,0.408
1570.5,0.225,0.408
1569.5,0.166,0.408
1568.5,0.106,0.395
1567.5,0.154,0.396
1566.5,0.128,0.396
1565.5,0.145,0.396
1564.5,0.262,0.395
1563.5,0.161,0.377
1562.5,0.162,0.395
1561.5,0.375,0.395
1560.5,0.171,0.395
1559.5,0.141,0.395
1558.5,0.124,0.395
1557.5,0.213,0.346
1556.5,0.089,0.339
1555.5,0.044,0.339
1554.5,0.012,0.339
1553.5,0.21,0.339
1552.5,0.095,0.435
1551.5,0.138,0.339
1550.5,0.219,0.339
1549.5,0.177,0.435
1548.5,0.248,0.435
1547.5,0.22,0.387
1546.5,0.117,0.394
1545.5,0.107,0.394
1544.5,0.196,0.387
1543.5,0.158,0.33
1542.5,0.029,0.318
1541.5,0.16,0.288
1540.5,0.135,0.318
1539.5,0.1,0.318
1538.5,0.13,0.28
1537.5,0.114,0.27
1536.5,0.055,0.28
1535.5,0.186,0.28
1534.5,0.11,0.28
1533.5,0.054,0.28
1532.5,0.038,0.275
1531.5,0.138,0.28
1530.5,0.118,0.28
1529.5,0.195,0.28
1528.5,0.048,0.314
1527.5,,0.314
1526.5,0.226,0.314
1525.5,0.097,0.263
1524.5,0.3,0.21
1523.5,0.416,0.21
1522.5,0.074,0.269
1521.5,0.059,0.301
1520.5,0.033,0.237
1519.5,0.06,0.182
1518.5,0.123,0.182
1517.5,0.165,0.182
1516.5,0.21,0.301
1515.5,0.032,0.301
1514.5,0.071,0.301
1513.5,0.151,0.301
1512.5,0.177,0.37
1511.5,0.165,0.37
1510.5,0.087,0.214
1509.5,0.071,0.22
1508.5,0.069,0.22
1507.5,0.162,0.214
1506.5,0.164,0.214
1505.5,0.058,0.197
1504.5,0.09,0.197
1503.5,0.08,0.22
1502.5,0.074,0.277
1501.5,0.123,0.277
1500.5,0.08,0.277
1499.5,0.113,0.277
1498.5,0.14,0.277
1497.5,0.246,0.277
1496.5,0.13,0.277
1495.5,0.132,0.207
1494.5,0.005,0.207
1493.5,0.048,0.207
1492.5,0.084,0.207
1491.5,0.059,0.207
1490.5,0.012,0.207
1489.5,0.076,0.207
1488.5,0.095,0.207
1487.5,0.254,0.234
1486.5,0.171,0.405
1485.5,0.165,0.405
1484.5,0.191,0.405
1483.5,0.02,0.405
1482.5,0.177,0.405
1481.5,0.224,0.358
1480.5,0.131,0.358
1479.5,0.049,0.321
1478.5,0.069,0.193
1477.5,0.079,0.206
1476.5,0.146,0.206
1475.5,0.247,0.206
1474.5,0.055,0.206
1473.5,0.002,0.206
1472.5,0.084,0.219
1471.5,0.116,0.225
1470.5,0.092,0.219
1469.5,0.096,0.206
1468.5,0.068,0.206
1467.5,0.089,0.212
1466.5,0.103,0.219
1465.5,0.003,0.166
1464.5,0.029,0.166
1463.5,-0.025,0.166
1462.5,,0.165
1461.5,,0.122
1460.5,0.05,0.122
1459.5,0.127,0.137
1458.5,0.141,0.14
1457.5,0.067,0.165
1456.5,0.032,0.211
1455.5,0.056,0.257
1454.5,0.111,0.257
1453.5,0.057,0.257
1452.5,0.105,0.257
1451.5,0.179,0.257
1450.5,0.107,0.257
1449.5,0.091,0.264
1448.5,0.164,0.257
1447.5,0.114,0.264
1446.5,0.061,0.279
1445.5,0.067,0.279
1444.5,0.179,0.279
1443.5,0.076,0.28
1442.5,0.242,0.28
1441.5,0.197,0.33
1440.5,0.197,0.33
1439.5,0.097,0.33
1438.5,0.114,0.33
1437.5,0.135,0.33
1436.5,0.267,0.28
1435.5,0.084,0.28
1434.5,0.03,0.28
1433.5,0.171,0.33
1432.5,0.088,0.33
1431.5,0.03,0.275
1430.5,0.178,0.275
1429.5,0.317,0.275
1428.5,0.347,0.289
1427.5,0.112,0.289
1426.5,0.082,0.289
1425.5,0.123,0.289
1424.5,0.098,0.275
1423.5,0.118,0.265
1422.5,0.122,0.24
1421.5,0.035,0.24
1420.5,0.108,0.262
1419.5,-0.019,0.262
1418.5,0.055,0.265
1417.5,0.086,0.262
1416.5,0.161,0.253
1415.5,0.107,0.262
1414.5,0.301,0.262
1413.5,0.131,0.321
1412.5,0.086,0.354
1411.5,0.103,0.396
1410.5,0.144,0.465
1409.5,0.197,0.465
1408.5,0.239,0.365
1407.5,0.279,0.365
1406.5,0.249,0.465
1405.5,0.19,0.484
1404.5,0.149,0.484
1403.5,0.05,0.465
1402.5,0.097,0.365
1401.5,0.31,0.365
1400.5,0.285,0.365
1399.5,0.079,0.365
1398.5,0.132,0.362
1397.5,0.148,0.362
1396.5,0.192,0.467
1395.5,0.197,0.398
1394.5,0.19,0.362
1393.5,0.124,0.362
1392.5,0.099,0.398
1391.5,0.27,0.443
1390.5,0.162,0.398
1389.5,0.113,0.398
1388.5,0.031,0.383
1387.5,0.181,0.383
1386.5,0.229,0.398
1385.5,0.034,0.398
1384.5,0.17,0.383
1383.5,0.156,0.383
1382.5,0.089,0.383
1381.5,0.175,0.375
1380.5,0.166,0.375
1379.5,0.033,0.375
1378.5,0.075,0.375
1377.5,0.082,0.262
1376.5,0.153,0.274
1375.5,0.218,0.274
1374.5,0.075,0.274
1373.5,0.177,0.335
1372.5,0.107,0.335
1371.5,0.112,0.335
1370.5,0.183,0.335
1369.5,0.137,0.335
1368.5,0.157,0.358
1367.5,0.061,0.358
1366.5,0.087,0.363
1365.5,0.148,0.384
1364.5,0.146,0.363
1363.5,0.167,0.384
1362.5,0.232,0.409
1361.5,0.21,0.409
1360.5,0.19,0.466
1359.5,0.132,0.466
1358.5,0.221,0.466
1357.5,0.276,0.515
1356.5,0.143,0.466
1355.5,0.295,0.383
1354.5,0.156,0.383
1353.5,0.129,0.383
1352.5,0.252,0.35
1351.5,0.095,0.35
1350.5,0.066,0.383
1349.5,0.171,0.383
1348.5,0.136,0.415
1347.5,0.118,0.42
1346.5,0.187,0.415
1345.5,0.189,0.417
1344.5,0.464,0.429
1343.5,0.169,0.426
1342.5,0.293,0.448
1341.5,-0.048,0.461
1340.5,,0.479
1339.5,0.179,0.467
1338.5,0.057,0.467
1337.5,0.213,0.467
1336.5,0.202,0.411
1335.5,0.448,0.415
1334.5,0.156,0.438
1333.5,0.223,0.487
1332.5,0.069,0.495
1331.5,0.024,0.495
1330.5,0.16,0.522
1329.5,0.199,0.522
1328.5,0.365,0.546
1327.5,0.252,0.611
1326.5,0.347,0.618
1325.5,0.213,0.618
1324.5,0.254,0.618
1323.5,0.249,0.618
1322.5,0.272,0.611
1321.5,0.29,0.599
1320.5,0.125,0.522
1319.5,0.087,0.411
1318.5,0.244,0.318
1317.5,0.168,0.306
1316.5,0.052,0.301
1315.5,0.07,0.301
1314.5,0.13,0.301
1313.5,0.052,0.318
1312.5,-0.041,0.318
1311.5,0.123,0.301
1310.5,0.198,0.301
1309.5,0.132,0.301
1308.5,0.378,0.301
1307.5,0.192,0.301
1306.5,0.066,0.323
1305.5,0.05,0.323
1304.5,-0.047,0.313
1303.5,0.161,0.313
1302.5,0.011,0.311
1301.5,0.274,0.311
1300.5,0.127,0.311
1299.5,0.077,0.313
1298.5,0.175,0.394
1297.5,0.127,0.43
1296.5,0.375,0.43
1295.5,0.105,0.313
1294.5,0.218,0.311
1293.5,0.253,0.37
1292.5,0.238,0.309
1291.5,-0.015,0.301
1290.5,0.12,0.301
1289.5,0.106,0.336
1288.5,,0.308
1287.5,0.126,0.308
1286.5,0.12,0.295
1285.5,0.148,0.308
1284.5,0.26,0.308
1283.5,,0.336
1282.5,0.172,0.336
1281.5,0.072,0.364
1280.5,0.241,0.393
1279.5,0.097,0.421
1278.5,,0.329
1277.5,,0.329
1276.5,,0.237
1275.5,,0.415
1274.5,,0.237
1273.5,,
1272.5,,1.23
1271.5,,0.835
1270.5,,0.44
1269.5,,0.707
1268.5,,0.735
1267.5,0.502,0.598
1266.5,0.179,0.476
1265.5,0.125,0.468
1264.5,0.397,0.476
1263.5,0.3,0.468
1262.5,0.188,0.476
1261.5,0.194,0.476
1260.5,0.131,0.476
1259.5,0.196,0.482
1258.5,0.125,0.482
1257.5,0.229,0.476
1256.5,0.206,0.476
1255.5,0.111,0.471
1254.5,0.228,0.477
1253.5,0.303,0.477
1252.5,0.192,0.491
1251.5,0.104,0.491
1250.5,0.077,0.491
1249.5,0.194,0.53
1248.5,0.2,0.53
1247.5,0.216,0.53
1246.5,0.237,0.53
1245.5,0.328,0.53
1244.5,0.253,0.53
1243.5,0.437,0.582
1242.5,0.397,0.621
1241.5,0.199,0.687
1240.5,0.168,0.699
1239.5,0.164,0.699
1238.5,0.28,0.868
1237.5,0.285,0.699
1236.5,0.362,0.687
1235.5,0.475,0.687
1234.5,0.354,0.687
1233.5,0.4,0.687
1232.5,0.259,0.699
1231.5,0.166,0.635
1230.5,0.257,0.635
1229.5,0.201,0.635
1228.5,0.215,0.63
1227.5,0.369,0.567
1226.5,0.231,0.528
1225.5,0.344,0.567
1224.5,0.526,0.567
1223.5,0.189,0.575
1222.5,0.186,0.575
1221.5,0.161,0.567
1220.5,0.235,0.575
1219.5,0.244,0.531
1218.5,0.275,0.489
1217.5,0.196,0.515
1216.5,0.198,0.557
1215.5,0.238,0.58
1214.5,,0.591
1213.5,0.201,0.63
1212.5,0.219,0.637
1211.5,0.281,0.637
1210.5,0.316,0.688
1209.5,0.319,0.71
1208.5,0.304,0.689
1207.5,0.298,0.73
1206.5,0.221,0.73
1205.5,0.28,0.73
1204.5,0.385,0.73
1203.5,0.237,0.73
1202.5,0.381,0.73
1201.5,0.244,0.742
1200.5,0.29,0.79
1199.5,0.322,0.895
1198.5,0.42,0.855
1197.5,0.365,0.895
1196.5,0.303,0.855
1195.5,0.732,0.855
1194.5,0.398,0.875
1193.5,0.349,0.886
1192.5,0.439,0.886
1191.5,0.313,0.927
1190.5,0.28,0.927
1189.5,,0.921
1188.5,0.358,0.872
1187.5,0.499,0.921
1186.5,0.53,0.877
1185.5,0.353,0.965
1184.5,0.394,1.224
1183.5,0.311,1.262
1182.5,0.535,1.305
1181.5,,1.378
1180.5,0.823,1.58
1179.5,0.699,1.762
1178.5,0.737,1.913
1177.5,0.589,2.316
1176.5,1.383,2.356
1175.5,1.244,2.317
1174.5,1.46,2.317
1173.5,1.858,2.317
1172.5,1.066,2.317
1171.5,0.855,2.317
1170.5,0.945,2.096
1169.5,0.723,1.772
1168.5,0.636,1.772
1167.5,0.644,1.772
1166.5,0.651,1.772
1165.5,0.512,1.772
1164.5,0.618,1.595
1163.5,0.786,1.579
1162.5,0.726,1.595
1161.5,1.245,1.689
1160.5,0.804,1.689
1159.5,0.597,1.781
1158.5,0.568,1.781
1157.5,1.166,1.689
1156.5,0.689,1.464
1155.5,0.54,1.464
1154.5,0.751,1.464
1153.5,0.383,1.483
1152.5,0.468,1.575
1151.5,0.466,1.449
1150.5,1.008,1.324
1149.5,0.642,1.361
